,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
38848,2016-03-29 23:53:33,Polo_6n_Ohne_TÜV_abzugeben,privat,Angebot,150,control,,1995,manuell,45,polo,150000,0,,volkswagen,nein,2016-03-29 00:00:00,0,38110,2016-04-06 21:45:50
146368,2016-03-10 17:53:46,BMW_114i,privat,Angebot,14300,control,limousine,2013,manuell,102,1er,40000,1,benzin,bmw,nein,2016-03-10 00:00:00,0,45894,2016-04-05 19:45:56
146263,2016-03-20 18:50:56,Volkswagen_Golf_1.4,privat,Angebot,1999,test,limousine,1999,manuell,75,golf,150000,3,benzin,volkswagen,nein,2016-03-20 00:00:00,0,24109,2016-03-28 20:16:52
191313,2016-03-07 19:38:14,VW_Golf_3_GT__1_8L__90_PS_4_tuerig__Tuev_03/2017__AHK__Euro_2,privat,Angebot,650,control,limousine,1995,manuell,90,golf,150000,6,benzin,volkswagen,nein,2016-03-07 00:00:00,0,37186,2016-03-08 11:46:01
116063,2016-03-22 16:55:27,Peugeot_J_5_TD_1400,privat,Angebot,6950,test,bus,1990,manuell,95,andere,150000,7,diesel,peugeot,nein,2016-03-22 00:00:00,0,51429,2016-04-04 07:46:38
171478,2016-03-11 11:56:44,Opel_Astra_1.4Turbo_Innovation_Navi_Xenon_Parkpiloten,privat,Angebot,10700,control,limousine,2010,manuell,140,astra,40000,9,benzin,opel,nein,2016-03-11 00:00:00,0,14974,2016-04-07 03:46:14
191658,2016-03-27 19:56:31,Opel_Astra_H_1_7_CDTI_Top_Zustand_+_NAVI,privat,Angebot,2900,control,kombi,2004,manuell,80,astra,150000,12,,opel,nein,2016-03-27 00:00:00,0,87700,2016-04-05 18:45:55
95508,2016-03-28 20:49:19,Mercedes_Benz_E_200_Kompressor_AHK_Klima_Schiebedach...,privat,Angebot,3550,control,limousine,2001,manuell,163,e_klasse,150000,8,benzin,mercedes_benz,nein,2016-03-28 00:00:00,0,49624,2016-04-07 03:44:32
102990,2016-04-05 10:58:12,Skoda_Superb_Combi_2.0_TDI_DSG_Scheckheft,privat,Angebot,14500,control,kombi,2010,automatik,170,superb,150000,2,diesel,skoda,ja,2016-04-05 00:00:00,0,41179,2016-04-05 11:46:05
334095,2016-03-29 08:53:08,BMW_Z4,privat,Angebot,10800,control,cabrio,2002,manuell,192,z_reihe,100000,11,benzin,bmw,nein,2016-03-29 00:00:00,0,74889,2016-04-05 19:16:23
8646,2016-03-25 15:53:32,Opel_Corsa_1_0,privat,Angebot,3500,test,kleinwagen,2007,manuell,60,corsa,60000,11,benzin,opel,nein,2016-03-25 00:00:00,0,24848,2016-03-30 06:18:31
184517,2016-03-27 23:55:37,Hyundai_Atos_Prime_1.0i_GLS_mit_Faltdach_Tuev_NEU,privat,Angebot,1650,test,kleinwagen,2002,manuell,58,andere,125000,2,benzin,hyundai,nein,2016-03-27 00:00:00,0,46147,2016-04-06 09:16:12
187376,2016-03-21 08:55:08,Bmw_325i_Cabrio,privat,Angebot,6500,control,cabrio,2002,manuell,192,3er,150000,5,benzin,bmw,nein,2016-03-21 00:00:00,0,66679,2016-04-06 02:45:24
22463,2016-03-24 21:39:11,Renault_Megane_Grandtour_1.6_Privilege_16V,privat,Angebot,750,test,kombi,2001,manuell,107,megane,150000,7,benzin,renault,nein,2016-03-23 00:00:00,0,55129,2016-04-04 18:46:55
224148,2016-04-04 14:25:16,Bmw_530_diesel,privat,Angebot,6900,test,,2016,automatik,218,,150000,3,,bmw,,2016-04-04 00:00:00,0,65205,2016-04-05 12:16:48
159068,2016-03-14 15:57:05,Mercedes_Benz_E200_Elegance,privat,Angebot,1200,control,limousine,1999,automatik,0,e_klasse,150000,1,benzin,mercedes_benz,ja,2016-03-14 00:00:00,0,45770,2016-03-16 06:16:59
267169,2016-03-08 21:39:21,AUDI_A6_LIMUSINE_DIESEL_TÜV_9.17_TOP,privat,Angebot,1800,control,limousine,1998,automatik,150,a6,150000,9,diesel,audi,nein,2016-03-08 00:00:00,0,26810,2016-03-08 21:39:21
366704,2016-03-13 18:53:06,Skoda_Fabia_1.4_16V_Elegance,privat,Angebot,1649,test,kleinwagen,2001,manuell,101,fabia,150000,7,benzin,skoda,nein,2016-03-13 00:00:00,0,88048,2016-03-13 18:53:06
188758,2016-04-01 07:01:13,Skoda_Fabia_1_4_16V,privat,Angebot,2100,test,kombi,2003,manuell,75,fabia,150000,9,benzin,skoda,nein,2016-04-01 00:00:00,0,46562,2016-04-07 06:15:29
273899,2016-03-17 18:47:37,Renault_Grand_Scenic_dCi_130_FAP_Dynamique,privat,Angebot,9500,control,bus,2011,manuell,131,andere,125000,1,diesel,renault,nein,2016-03-17 00:00:00,0,32120,2016-04-05 03:18:22
96235,2016-04-01 22:49:02,BMW_316i_mit_TÜV,privat,Angebot,499,test,limousine,1995,manuell,0,3er,150000,5,benzin,bmw,,2016-04-01 00:00:00,0,67574,2016-04-05 21:45:03
14438,2016-03-21 18:38:00,Mazda_6_2.0_Sport_CD_DPF_Exclusive_Xenon_Temp_Navi_TOP,privat,Angebot,3700,test,limousine,2007,manuell,143,6_reihe,150000,9,diesel,mazda,nein,2016-03-21 00:00:00,0,86983,2016-04-04 17:47:29
203718,2016-03-29 02:32:42,Opel_Corsa_B,privat,Angebot,950,control,kleinwagen,1998,manuell,54,corsa,150000,8,benzin,opel,nein,2016-03-29 00:00:00,0,65203,2016-03-30 14:34:22
201766,2016-04-04 14:48:14,Kia_pro_Ceed_1.6_GDI_Edition_7,privat,Angebot,12499,test,limousine,2014,manuell,135,ceed,30000,3,benzin,kia,nein,2016-04-04 00:00:00,0,68161,2016-04-06 16:17:18
197933,2016-04-04 16:53:40,Fotd_Fiesta,privat,Angebot,8500,test,kleinwagen,2011,,82,fiesta,40000,10,benzin,ford,nein,2016-04-04 00:00:00,0,21255,2016-04-06 18:46:41
